id,first_name,last_name,email,age,q1,q2,q3,q4,q5
790608152,Randal,Montoya,robin2015@outlook.com,21.0,8.6,2.5,1.3,3.5,2.1
592402037,Latina,Mosley,decafid1830@outlook.com,37.0,6.5,1.8,3.1,0.1,2.3
138553005,Renato,Robertson,abdon18l.c,33.0,3.5,1.8,5.8,7.7,7.8
269049184,Ulysses,Andrews,ultrasonic1838@live.com,44.0,0.5,5.4,1.5,0.9,3.9
771299321,Hiedi,Compton,cointer1805@gmail.com,31.0,2.0,5.0,9.2,3.7,
198831027,Ramon,Levy,ramentiferous1876@live.com,29.0,2.8,8.9,9.5,4.2,1.5
291300130,Luci,Barnett,rumen92c,51.0,0.9,5.0,6.4,5.3,7.3
811865794,Don,Mullins,coeval1931@yandex.com,22.0,2.5,0.1,9.9,4.9,1.7
518012293,Josphine,Downs,daon13@.c,31.0,1.0,5.1,3.6,2.2,6.4
544761333,Bradley,Guerrero,aggregations1946@live.com,22.0,3.3,5.8,3.9,8.8,5.1
684934169,See,Thompson,bloodlessly1806@live.com,39.0,2.8,0.1,6.5,1.2,2.5
833012649,Jimmy,Peck,teimo19ex.c,56.0,5.4,8.9,9.6,1.3,8.7
483000026,Houston,Munoz,bajau1926@gmail.com,36.0,4.3,3.4,3.6,0.3,8.2
276685630,Laurinda,Giles,thunderstorm1902@yandex.com,36.0,0.7,0.3,1.0,4.1,3.0
199243968,Shane,Kelley,coal10@c,17.0,8.4,7.5,6.9,0.3,7.2
390599376,Hilton,Delacruz,antifowl1847@yandex.com,64.0,6.7,5.1,5.4,9.2,1.5
103329074,Gregg,Noble,dawne1859@live.com,34.0,3.4,7.6,2.6,8.1,5.6
422197537,Karima,Cohen,micronuclear1980@yandex.com,53.0,0.7,2.6,,2.5,6.4
707670450,Brenton,Hoover,cablet1931@yandex.com,19.0,7.9,4.4,4.5,5.0,8.0
449843546,Percy,Ashley,insect1938@yandex.com,56.0,6.5,0.6,7.9,0.4,4.5
902923518,Ward,Newton,ateles1847@yandex.com,31.0,6.0,1.9,3.8,4.0,7.9
203353719,Antonio,Morse,axopha1il.c,53.0,2.5,0.6,7.1,7.6,8.7
361798158,Basil,Kirkland,compose1966@gmail.com,34.0,9.5,,7.2,1.1,
874002079,Hugh,Foley,bloodhound1900@gmail.com,55.0,4.1,2.7,8.2,7.5,4.5
895802319,Jeffry,Lambert,adoptee1968@yahoo.com,30.0,3.4,7.8,9.6,4.0,4.8
451505199,Nicky,Bonner,belay1852@yahoo.com,35.0,7.2,5.0,5.8,,2.5
